Cod_Classe;Cod_Test;Regione;Data Validit…;Categoria;Uso;Specialita;CtarG Prova;Euro;DataCostruzione;CIntegrazioneComplessi;Alimentazione;C_KW;C_CV;Potenza;HP;Cilindrata;Ecologico;InstazioneImpianto;DataInstazioneImpianto;Portata;;AssiMotrice;AssiRimorchio;SospensioniPneumatiche;GncioTraino;PesoRimorchio;12(mensilità);11;10;9;8;7;6;5;4;3;2;1;
Bollo.c01.27;01-01;UMBRIA;01/01/2022;AB;PV;;;2;01/01/2022;;B;SI;;;147;;;;;;;;;NO;;;432,18;408,66;371,91;333,69;296,94;260,19;223,44;185,22;148,47;111,72;74,24;37,19;
Bollo.c01.28;01-01;UMBRIA;01/01/2022;AB;PV;;;4;01/01/2022;;B-E;SI;;;146;;;;;;;;;NO;;;429,24;405,88;369,38;331,42;294,92;258,42;221,92;183,96;147,46;110,96;73,73;36,94;
Bollo.c01.29;01-01;UMBRIA;01/01/2022;AB;PV;;;2;01/01/2022;;ET;SI;;;136;;;;;;;;;NO;;;399,84;378,08;344,08;308,72;274,72;240,72;206,72;171,36;137,36;103,36;68,68;34,41;
Bollo.c01.30;01-01;UMBRIA;01/01/2022;AB;PV;;;4;01/01/2022;;GP;SI;;;100;;;;;;;;;NO;;;294;278;253;227;202;177;152;126;101;76;50,5;25,3;
Bollo.c01.31;01-01;UMBRIA;01/01/2022;AB;PV;;;0;01/01/2022;;G;SI;;;90;;;;;;;;;NO;;;264,6;250,2;227,7;204,3;181,8;159,3;136,8;113,4;90,9;68,4;45,45;22,77;
Bollo.c01.32;01-01;UMBRIA;01/01/2022;AB;PV;;;1;01/01/2018;;ELE;SI;;;146;;;;;;;;;NO;;;429,24;405,88;369,38;331,42;294,92;258,42;221,92;183,96;147,46;110,96;73,73;36,94;
Bollo.c01.33;01-01;UMBRIA;01/01/2022;AB;PV;;;2;01/01/2018;;ELE;SI;;;136;;;;;;;;;NO;;;399,84;378,08;344,08;308,72;274,72;240,72;206,72;171,36;137,36;103,36;68,68;34,41;
Bollo.c01.34;01-01;UMBRIA;01/01/2022;AB;PV;;;4;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;294;278;253;227;202;177;152;126;101;76;50,5;25,3;
Bollo.c01.35;01-01;UMBRIA;01/01/2022;AB;PV;;;2;01/01/2018;;ELE;SI;;;90;;;;;;;;;NO;;;264,6;250,2;227,7;204,3;181,8;159,3;136,8;113,4;90,9;68,4;45,45;22,77;
Bollo.c01.36;01-01;UMBRIA;01/01/2022;AB;SG;;;0;01/01/2022;;B-E;SI;;;136;;;;;;;;;NO;;;399,84;378,08;344,08;308,72;274,72;240,72;206,72;171,36;137,36;103,36;68,68;34,41;
Bollo.c01.37;01-01;UMBRIA;01/01/2022;AB;SG;;;1;01/01/2022;;ET;SI;;;110;;;;;;;;;NO;;;323,4;305,8;278,3;249,7;222,2;194,7;167,2;138,6;111,1;83,6;55,55;27,83;
Bollo.c01.38;01-01;UMBRIA;01/01/2022;AB;SG;;;2;01/01/2022;;GP;SI;;;100;;;;;;;;;NO;;;294;278;253;227;202;177;152;126;101;76;50,5;25,3;
Bollo.c01.39;01-01;UMBRIA;01/01/2022;AB;SG;;;4;01/01/2022;;G;SI;;;60;;;;;;;;;NO;;;176,4;166,8;151,8;136,2;121,2;106,2;91,2;75,6;60,6;45,6;30,3;15,18;
Bollo.c01.40;01-01;UMBRIA;01/01/2022;AB;SG;;;2;01/01/2018;;ELE;SI;;;146;;;;;;;;;NO;;;429,24;405,88;369,38;331,42;294,92;258,42;221,92;183,96;147,46;110,96;73,73;36,94;
Bollo.c01.41;01-01;UMBRIA;01/01/2022;AB;SG;;;4;01/01/2018;;ELE;SI;;;136;;;;;;;;;NO;;;399,84;378,08;344,08;308,72;274,72;240,72;206,72;171,36;137,36;103,36;68,68;34,41;
Bollo.c01.42;01-01;UMBRIA;01/01/2022;AB;SG;;;0;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;294;278;253;227;202;177;152;126;101;76;50,5;25,3;
Bollo.c01.43;01-01;UMBRIA;01/01/2022;AB;SG;;;1;01/01/2018;;ELE;SI;;;60;;;;;;;;;NO;;;176,4;166,8;151,8;136,2;121,2;106,2;91,2;75,6;60,6;45,6;30,3;15,18;
Bollo.c01.44;01-01;UMBRIA;01/01/2022;AB;SG;;;2;01/01/2022;;B;SI;;;147;;;;;;;;;NO;;;432,18;408,66;371,91;333,69;296,94;260,19;223,44;185,22;148,47;111,72;74,24;37,19;
Bollo.c01.45;01-01;UMBRIA;01/01/2022;AB;SG;;;4;01/01/2022;;B-E;SI;;;146;;;;;;;;;NO;;;429,24;405,88;369,38;331,42;294,92;258,42;221,92;183,96;147,46;110,96;73,73;36,94;
Bollo.c01.46;01-01;UMBRIA;01/01/2022;AB;SG;;;2;01/01/2022;;ET;SI;;;136;;;;;;;;;NO;;;399,84;378,08;344,08;308,72;274,72;240,72;206,72;171,36;137,36;103,36;68,68;34,41;
Bollo.c01.47;01-01;UMBRIA;01/01/2022;AB;SG;;;4;01/01/2022;;GP;SI;;;100;;;;;;;;;NO;;;294;278;253;227;202;177;152;126;101;76;50,5;25,3;
Bollo.c01.48;01-01;UMBRIA;01/01/2022;AB;SG;;;0;01/01/2022;;G;SI;;;90;;;;;;;;;NO;;;264,6;250,2;227,7;204,3;181,8;159,3;136,8;113,4;90,9;68,4;45,45;22,77;
Bollo.c01.49;01-01;UMBRIA;01/01/2022;AB;SG;;;1;01/01/2018;;ELE;SI;;;146;;;;;;;;;NO;;;429,24;405,88;369,38;331,42;294,92;258,42;221,92;183,96;147,46;110,96;73,73;36,94;
Bollo.c01.50;01-01;UMBRIA;01/01/2022;AB;SG;;;2;01/01/2018;;ELE;SI;;;136;;;;;;;;;NO;;;399,84;378,08;344,08;308,72;274,72;240,72;206,72;171,36;137,36;103,36;68,68;34,41;
Bollo.c01.51;01-01;UMBRIA;01/01/2022;AB;SG;;;4;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;294;278;253;227;202;177;152;126;101;76;50,5;25,3;
Bollo.c01.52;01-01;UMBRIA;01/01/2022;AB;SG;;;2;01/01/2018;;ELE;SI;;;90;;;;;;;;;NO;;;264,6;250,2;227,7;204,3;181,8;159,3;136,8;113,4;90,9;68,4;45,45;22,77;
Bollo.c01.53;01-01;UMBRIA;01/01/2022;AB;LI;;;0;01/01/2022;;B-E;SI;;;136;;;;;;;;;NO;;;266,56;251,6;229,84;206,72;183,6;160,48;137,36;114,24;91,12;68,82;45,83;22,98;
Bollo.c01.54;01-01;UMBRIA;01/01/2022;AB;LI;;;1;01/01/2022;;ET;SI;;;110;;;;;;;;;NO;;;215,6;203,5;185,9;167,2;148,5;129,8;111,1;92,4;73,7;55,66;37,07;18,59;
Bollo.c01.55;01-01;UMBRIA;01/01/2022;AB;LI;;;2;01/01/2022;;GP;SI;;;100;;;;;;;;;NO;;;196;185;169;152;135;118;101;84;67;50,6;33,7;16,9;
Bollo.c01.56;01-01;UMBRIA;01/01/2022;AB;LI;;;4;01/01/2022;;G;SI;;;60;;;;;;;;;NO;;;117,6;111;101,4;91,2;81;70,8;60,6;50,4;40,2;30,36;20,22;10,14;
Bollo.c01.57;01-01;UMBRIA;01/01/2022;AB;LI;;;2;01/01/2018;;ELE;SI;;;146;;;;;;;;;NO;;;286,16;270,1;246,74;221,92;197,1;172,28;147,46;122,64;97,82;73,88;49,2;24,67;
Bollo.c01.58;01-01;UMBRIA;01/01/2022;AB;LI;;;4;01/01/2018;;ELE;SI;;;136;;;;;;;;;NO;;;266,56;251,6;229,84;206,72;183,6;160,48;137,36;114,24;91,12;68,82;45,83;22,98;
Bollo.c01.59;01-01;UMBRIA;01/01/2022;AB;LI;;;0;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;196;185;169;152;135;118;101;84;67;50,6;33,7;16,9;
Bollo.c01.60;01-01;UMBRIA;01/01/2022;AB;LI;;;1;01/01/2018;;ELE;SI;;;60;;;;;;;;;NO;;;117,6;111;101,4;91,2;81;70,8;60,6;50,4;40,2;30,36;20,22;10,14;
Bollo.c01.61;01-01;UMBRIA;01/01/2022;AB;LI;;;2;01/01/2022;;B;SI;;;147;;;;;;;;;NO;;;288,12;271,95;248,43;223,44;198,45;173,46;148,47;123,48;98,49;74,38;49,54;24,84;
Bollo.c01.62;01-01;UMBRIA;01/01/2022;AB;LI;;;4;01/01/2022;;B-E;SI;;;146;;;;;;;;;NO;;;286,16;270,1;246,74;221,92;197,1;172,28;147,46;122,64;97,82;73,88;49,2;24,67;
Bollo.c01.63;01-01;UMBRIA;01/01/2022;AB;LI;;;2;01/01/2022;;ET;SI;;;136;;;;;;;;;NO;;;266,56;251,6;229,84;206,72;183,6;160,48;137,36;114,24;91,12;68,82;45,83;22,98;
Bollo.c01.64;01-01;UMBRIA;01/01/2022;AB;LI;;;4;01/01/2022;;GP;SI;;;100;;;;;;;;;NO;;;196;185;169;152;135;118;101;84;67;50,6;33,7;16,9;
Bollo.c01.65;01-01;UMBRIA;01/01/2022;AB;LI;;;0;01/01/2022;;G;SI;;;90;;;;;;;;;NO;;;176,4;166,5;152,1;136,8;121,5;106,2;90,9;75,6;60,3;45,54;30,33;15,21;
Bollo.c01.66;01-01;UMBRIA;01/01/2022;AB;LI;;;1;01/01/2018;;ELE;SI;;;146;;;;;;;;;NO;;;286,16;270,1;246,74;221,92;197,1;172,28;147,46;122,64;97,82;73,88;49,2;24,67;
Bollo.c01.67;01-01;UMBRIA;01/01/2022;AB;LI;;;2;01/01/2018;;ELE;SI;;;136;;;;;;;;;NO;;;266,56;251,6;229,84;206,72;183,6;160,48;137,36;114,24;91,12;68,82;45,83;22,98;
Bollo.c01.68;01-01;UMBRIA;01/01/2022;AB;LI;;;4;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;196;185;169;152;135;118;101;84;67;50,6;33,7;16,9;
Bollo.c01.69;01-01;UMBRIA;01/01/2022;AB;LI;;;2;01/01/2018;;ELE;SI;;;90;;;;;;;;;NO;;;176,4;166,5;152,1;136,8;121,5;106,2;90,9;75,6;60,3;45,54;30,33;15,21;
Bollo.c01.70;01-01;UMBRIA;01/01/2022;AB;NC;;;0;01/01/2022;;B-E;SI;;;136;;;;;;;;;NO;;;266,56;251,6;229,84;206,72;183,6;160,48;137,36;114,24;91,12;68,82;45,83;22,98;
Bollo.c01.71;01-01;UMBRIA;01/01/2022;AB;NC;;;1;01/01/2022;;ET;SI;;;110;;;;;;;;;NO;;;215,6;203,5;185,9;167,2;148,5;129,8;111,1;92,4;73,7;55,66;37,07;18,59;
Bollo.c01.72;01-01;UMBRIA;01/01/2022;AB;NC;;;2;01/01/2022;;GP;SI;;;100;;;;;;;;;NO;;;196;185;169;152;135;118;101;84;67;50,6;33,7;16,9;
Bollo.c01.73;01-01;UMBRIA;01/01/2022;AB;NC;;;4;01/01/2022;;G;SI;;;60;;;;;;;;;NO;;;117,6;111;101,4;91,2;81;70,8;60,6;50,4;40,2;30,36;20,22;10,14;
Bollo.c01.74;01-01;UMBRIA;01/01/2022;AB;NC;;;2;01/01/2018;;ELE;SI;;;146;;;;;;;;;NO;;;286,16;270,1;246,74;221,92;197,1;172,28;147,46;122,64;97,82;73,88;49,2;24,67;
Bollo.c01.75;01-01;UMBRIA;01/01/2022;AB;NC;;;4;01/01/2018;;ELE;SI;;;136;;;;;;;;;NO;;;266,56;251,6;229,84;206,72;183,6;160,48;137,36;114,24;91,12;68,82;45,83;22,98;
Bollo.c01.76;01-01;UMBRIA;01/01/2022;AB;NC;;;0;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;196;185;169;152;135;118;101;84;67;50,6;33,7;16,9;
Bollo.c01.77;01-01;UMBRIA;01/01/2022;AB;NC;;;1;01/01/2018;;ELE;SI;;;60;;;;;;;;;NO;;;117,6;111;101,4;91,2;81;70,8;60,6;50,4;40,2;30,36;20,22;10,14;
Bollo.c01.78;01-01;UMBRIA;01/01/2022;AB;NC;;;2;01/01/2022;;B;SI;;;147;;;;;;;;;NO;;;288,12;271,95;248,43;223,44;198,45;173,46;148,47;123,48;98,49;74,38;49,54;24,84;
Bollo.c01.79;01-01;UMBRIA;01/01/2022;AB;NC;;;4;01/01/2022;;B-E;SI;;;146;;;;;;;;;NO;;;286,16;270,1;246,74;221,92;197,1;172,28;147,46;122,64;97,82;73,88;49,2;24,67;
Bollo.c01.80;01-01;UMBRIA;01/01/2022;AB;NC;;;2;01/01/2022;;ET;SI;;;136;;;;;;;;;NO;;;266,56;251,6;229,84;206,72;183,6;160,48;137,36;114,24;91,12;68,82;45,83;22,98;
Bollo.c01.81;01-01;UMBRIA;01/01/2022;AB;NC;;;4;01/01/2022;;GP;SI;;;100;;;;;;;;;NO;;;196;185;169;152;135;118;101;84;67;50,6;33,7;16,9;
Bollo.c01.82;01-01;UMBRIA;01/01/2022;AB;NC;;;0;01/01/2022;;G;SI;;;90;;;;;;;;;NO;;;176,4;166,5;152,1;136,8;121,5;106,2;90,9;75,6;60,3;45,54;30,33;15,21;
Bollo.c01.83;01-01;UMBRIA;01/01/2022;AB;NC;;;1;01/01/2018;;ELE;SI;;;146;;;;;;;;;NO;;;286,16;270,1;246,74;221,92;197,1;172,28;147,46;122,64;97,82;73,88;49,2;24,67;
Bollo.c01.84;01-01;UMBRIA;01/01/2022;AB;NC;;;2;01/01/2018;;ELE;SI;;;136;;;;;;;;;NO;;;266,56;251,6;229,84;206,72;183,6;160,48;137,36;114,24;91,12;68,82;45,83;22,98;
Bollo.c01.85;01-01;UMBRIA;01/01/2022;AB;NC;;;4;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;196;185;169;152;135;118;101;84;67;50,6;33,7;16,9;
Bollo.c01.86;01-01;UMBRIA;01/01/2022;AB;NC;;;2;01/01/2018;;ELE;SI;;;90;;;;;;;;;NO;;;176,4;166,5;152,1;136,8;121,5;106,2;90,9;75,6;60,3;45,54;30,33;15,21;
Bollo.c01.87;01-01;UMBRIA;01/01/2022;AB;PP;;;0;01/01/2022;;B-E;SI;;;136;;;;;;;;;NO;;;266,56;251,6;229,84;206,72;183,6;160,48;137,36;114,24;91,12;68,82;45,83;22,98;
Bollo.c01.88;01-01;UMBRIA;01/01/2022;AB;PP;;;1;01/01/2022;;ET;SI;;;110;;;;;;;;;NO;;;215,6;203,5;185,9;167,2;148,5;129,8;111,1;92,4;73,7;55,66;37,07;18,59;
Bollo.c01.89;01-01;UMBRIA;01/01/2022;AB;PP;;;2;01/01/2022;;GP;SI;;;100;;;;;;;;;NO;;;196;185;169;152;135;118;101;84;67;50,6;33,7;16,9;
Bollo.c01.90;01-01;UMBRIA;01/01/2022;AB;PP;;;4;01/01/2022;;G;SI;;;60;;;;;;;;;NO;;;117,6;111;101,4;91,2;81;70,8;60,6;50,4;40,2;30,36;20,22;10,14;
Bollo.c01.91;01-01;UMBRIA;01/01/2022;AB;PP;;;2;01/01/2018;;ELE;SI;;;146;;;;;;;;;NO;;;286,16;270,1;246,74;221,92;197,1;172,28;147,46;122,64;97,82;73,88;49,2;24,67;
Bollo.c01.92;01-01;UMBRIA;01/01/2022;AB;PP;;;4;01/01/2018;;ELE;SI;;;136;;;;;;;;;NO;;;266,56;251,6;229,84;206,72;183,6;160,48;137,36;114,24;91,12;68,82;45,83;22,98;
Bollo.c01.93;01-01;UMBRIA;01/01/2022;AB;PP;;;0;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;196;185;169;152;135;118;101;84;67;50,6;33,7;16,9;
Bollo.c01.94;01-01;UMBRIA;01/01/2022;AB;PP;;;1;01/01/2018;;ELE;SI;;;60;;;;;;;;;NO;;;117,6;111;101,4;91,2;81;70,8;60,6;50,4;40,2;30,36;20,22;10,14;
Bollo.c01.95;01-01;UMBRIA;01/01/2022;AB;PP;;;2;01/01/2022;;B;SI;;;147;;;;;;;;;NO;;;288,12;271,95;248,43;223,44;198,45;173,46;148,47;123,48;98,49;74,38;49,54;24,84;
Bollo.c01.96;01-01;UMBRIA;01/01/2022;AB;PP;;;4;01/01/2022;;B-E;SI;;;146;;;;;;;;;NO;;;286,16;270,1;246,74;221,92;197,1;172,28;147,46;122,64;97,82;73,88;49,2;24,67;
Bollo.c01.97;01-01;UMBRIA;01/01/2022;AB;PP;;;2;01/01/2022;;ET;SI;;;136;;;;;;;;;NO;;;266,56;251,6;229,84;206,72;183,6;160,48;137,36;114,24;91,12;68,82;45,83;22,98;
Bollo.c01.98;01-01;UMBRIA;01/01/2022;AB;PP;;;4;01/01/2022;;GP;SI;;;100;;;;;;;;;NO;;;196;185;169;152;135;118;101;84;67;50,6;33,7;16,9;
Bollo.c01.99;01-01;UMBRIA;01/01/2022;AB;PP;;;0;01/01/2022;;G;SI;;;90;;;;;;;;;NO;;;176,4;166,5;152,1;136,8;121,5;106,2;90,9;75,6;60,3;45,54;30,33;15,21;
Bollo.c01.100;01-01;UMBRIA;01/01/2022;AB;PP;;;1;01/01/2018;;ELE;SI;;;146;;;;;;;;;NO;;;286,16;270,1;246,74;221,92;197,1;172,28;147,46;122,64;97,82;73,88;49,2;24,67;
Bollo.c01.101;01-01;UMBRIA;01/01/2022;AB;PP;;;2;01/01/2018;;ELE;SI;;;136;;;;;;;;;NO;;;266,56;251,6;229,84;206,72;183,6;160,48;137,36;114,24;91,12;68,82;45,83;22,98;
Bollo.c01.102;01-01;UMBRIA;01/01/2022;AB;PP;;;4;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;196;185;169;152;135;118;101;84;67;50,6;33,7;16,9;
Bollo.c01.103;01-01;UMBRIA;01/01/2022;AB;PP;;;2;01/01/2018;;ELE;SI;;;90;;;;;;;;;NO;;;176,4;166,5;152,1;136,8;121,5;106,2;90,9;75,6;60,3;45,54;30,33;15,21;
Bollo.c01.104;01-01;UMBRIA;01/01/2022;AB;UR;;;0;01/01/2022;;B-E;SI;;;136;;;;;;;;;NO;;;266,56;251,6;229,84;206,72;183,6;160,48;137,36;114,24;91,12;68,82;45,83;22,98;
Bollo.c01.105;01-01;UMBRIA;01/01/2022;AB;UR;;;1;01/01/2022;;ET;SI;;;110;;;;;;;;;NO;;;215,6;203,5;185,9;167,2;148,5;129,8;111,1;92,4;73,7;55,66;37,07;18,59;
Bollo.c01.106;01-01;UMBRIA;01/01/2022;AB;UR;;;2;01/01/2022;;GP;SI;;;100;;;;;;;;;NO;;;196;185;169;152;135;118;101;84;67;50,6;33,7;16,9;
Bollo.c01.107;01-01;UMBRIA;01/01/2022;AB;UR;;;4;01/01/2022;;G;SI;;;60;;;;;;;;;NO;;;117,6;111;101,4;91,2;81;70,8;60,6;50,4;40,2;30,36;20,22;10,14;
Bollo.c01.108;01-01;UMBRIA;01/01/2022;AB;UR;;;2;01/01/2018;;ELE;SI;;;146;;;;;;;;;NO;;;286,16;270,1;246,74;221,92;197,1;172,28;147,46;122,64;97,82;73,88;49,2;24,67;
Bollo.c01.109;01-01;UMBRIA;01/01/2022;AB;UR;;;4;01/01/2018;;ELE;SI;;;136;;;;;;;;;NO;;;266,56;251,6;229,84;206,72;183,6;160,48;137,36;114,24;91,12;68,82;45,83;22,98;
Bollo.c01.110;01-01;UMBRIA;01/01/2022;AB;UR;;;0;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;196;185;169;152;135;118;101;84;67;50,6;33,7;16,9;
Bollo.c01.111;01-01;UMBRIA;01/01/2022;AB;UR;;;1;01/01/2018;;ELE;SI;;;60;;;;;;;;;NO;;;117,6;111;101,4;91,2;81;70,8;60,6;50,4;40,2;30,36;20,22;10,14;
Bollo.c01.112;01-01;UMBRIA;01/01/2022;AB;UR;;;2;01/01/2022;;B;SI;;;147;;;;;;;;;NO;;;288,12;271,95;248,43;223,44;198,45;173,46;148,47;123,48;98,49;74,38;49,54;24,84;
Bollo.c01.113;01-01;UMBRIA;01/01/2022;AB;UR;;;4;01/01/2022;;B-E;SI;;;146;;;;;;;;;NO;;;286,16;270,1;246,74;221,92;197,1;172,28;147,46;122,64;97,82;73,88;49,2;24,67;
Bollo.c01.114;01-01;UMBRIA;01/01/2022;AB;UR;;;2;01/01/2022;;ET;SI;;;136;;;;;;;;;NO;;;266,56;251,6;229,84;206,72;183,6;160,48;137,36;114,24;91,12;68,82;45,83;22,98;
Bollo.c01.115;01-01;UMBRIA;01/01/2022;AB;UR;;;4;01/01/2022;;GP;SI;;;100;;;;;;;;;NO;;;196;185;169;152;135;118;101;84;67;50,6;33,7;16,9;
Bollo.c01.116;01-01;UMBRIA;01/01/2022;AB;UR;;;0;01/01/2022;;G;SI;;;90;;;;;;;;;NO;;;176,4;166,5;152,1;136,8;121,5;106,2;90,9;75,6;60,3;45,54;30,33;15,21;
Bollo.c01.117;01-01;UMBRIA;01/01/2022;AB;UR;;;1;01/01/2018;;ELE;SI;;;146;;;;;;;;;NO;;;286,16;270,1;246,74;221,92;197,1;172,28;147,46;122,64;97,82;73,88;49,2;24,67;
